surf_m, surf_b, x_m, y_m, Yaw_m, x_b, y_b, Yaw_b, var_meas_x, var_meas_y, var_meas_Yaw, var_err_x, var_err_y, var_err_Yaw

3935.9226125706455,4.4802335884049533,-1.4287428119329348,-0.016692209396757564,3.1113614850957516,-1.389076579608737,-0.015339002105156518,3.1036757406295847,2.9647755358228851e-08,7.1180360543685855e-11,8.3188192189860327e-07,0.0015734390415974553,1.8312397307955429e-06,5.9885912282692328e-05
3971.026219144836,3.9175492037646471,-1.4205940493546449,-0.012202816387716238,3.0342400835232231,-1.3826187789091866,-0.010451844796855559,3.0308895581634072,5.7779613181236739e-08,5.3104393352542121e-11,1.6378646246343011e-06,0.001442177789426638,3.0659535543066698e-06,1.2831127518913755e-05
3906.8132962486798,6.2274514638632539,-1.4246231120826942,-0.010295200660100302,2.9628927382862611,-1.3914126611920816,-0.0083923594269946986,2.9625574793909495,1.0887485352896327e-07,1.4626673463217957e-10,9.3293824444865961e-07,0.0011030407457142254,3.6209480998067837e-06,1.0266780064451449e-06
3757.2647303042095,5.0744829555600885,-1.4222806967654922,-0.012028133579313836,2.8071857479605717,-1.3898561379060503,-0.0096061962271790941,2.807047755911416,4.370454856099476e-08,2.6380285388890485e-10,3.389452770881707e-07,0.0010513948476869538,5.8660390644622492e-06,3.5120817717634256e-07
3663.8033025372679,2.166116106957197,-1.4246828964516807,-0.012584584097780739,2.7414460186158607,-1.3922868614580246,-0.010201474094172974,2.7452135703699945,3.2810390758966607e-08,1.1134026742522162e-10,2.8181908223269146e-07,0.0010495352374931084,5.6793224027574996e-06,1.4470628920662834e-05
3482.6992103810048,1.9208714168518781,-1.4252086562757975,-0.011560418623594035,2.6369171302645862,-1.3926017652809342,-0.0089807329778534232,2.6431646483507683,6.8664100980424613e-08,5.5636804423312862e-11,2.7484690684843325e-07,0.0010632766311698676,6.6548325549085076e-06,3.9300832205883205e-05
3309.4129267154913,5.4268896595574914,-1.4287077597412983,-0.011416509597622457,2.5588507440892618,-1.3960807739663601,-0.0089467435774020117,2.5635641847135338,6.8311313777495201e-08,6.6159873797173555e-11,1.5843410473679392e-07,0.0010645871458455252,6.0998090313118571e-06,2.2371787941173615e-05
3049.1945302807353,1.2627813974954187,-1.4288649172727574,-0.012156636117750834,2.4446654467966717,-1.3960194615054846,-0.0092420039687316075,2.4507324320971939,9.2416702804715013e-08,4.5443571231810227e-10,2.795738819610601e-07,0.0010789145329286223,8.4955259110945254e-06,3.7082293041076724e-05
2908.7845820909179,0.80671615088358517,-1.4229048928759291,-0.011628993958328475,2.3826671074516437,-1.3957719162974331,-0.0092250604547787773,2.3981114224265387,1.1827905218119242e-07,1.1691272325653647e-09,3.0300901277390121e-07,0.00073631433148036178,5.7800420341766389e-06,0.00023882381387629358
2710.7558776073156,7.1568534974940121,-1.4328130290792771,-0.013135888261047928,2.3240738424943448,-1.3966496540383153,-0.010624286436839396,2.3315518106758479,9.5538547510323524e-08,1.3598520925843205e-09,1.943270328881434e-07,0.0013078833221298622,6.3094763784183707e-06,5.6110448615796702e-05
2538.0874973616005,4.6922664569690822,-1.4332823251060838,-0.015315868202688593,2.2634410003126462,-1.4084354968067865,-0.012790401086109165,2.2768855425863257,5.908202341897908e-07,1.9629106728350217e-10,1.3865592214961826e-07,0.00061794388036426871,6.3781765221699618e-06,0.00018089159975247297
2296.0361747512688,3.076964399050921,-1.4409589972690606,-0.013814260277151181,2.1946727868264562,-1.4142721094543349,-0.011766830465263764,2.2068164308518106,1.1028223269209865e-07,1.0746642326038538e-10,5.6280543951530101e-08,0.00071229805782377722,4.1920741517001286e-06,0.00014752324514757947
3721.1661410979741,9.4027535740658639,-1.4633865068059846,-0.016044595547442517,3.2385661161691148,-1.4379253589122702,-0.013948138436014636,3.2458200497879006,1.3277342583626777e-07,2.0359148721378579e-10,9.6640415592625034e-07,0.00064840017002292113,4.395331939713992e-06,5.3566629018549292e-05
3620.8243536704872,0.90043140491470697,-1.4687436035823074,-0.016754742565639181,3.3648971891679467,-1.4383439227491874,-0.01530676036056749,3.3694673142904876,2.6060876194956618e-08,7.539187786269246e-10,4.4534463045629999e-07,0.00092416613441420289,2.0973913066073214e-06,2.132248137352694e-05
3479.6959180299377,6.3663502575829627,-1.4808082606212289,-0.017291236171593248,3.4584971500287676,-1.4438800265935816,-0.015888616990300773,3.469861263610218,7.0966868121598806e-08,1.9726406305595683e-10,3.0636502177831692e-07,0.0013637640159314811,1.9675338865113763e-06,0.0001294433152134913
3368.9765648854618,5.0986714148707684,-1.4792827458254145,-0.015844468311017535,3.5459299402099913,-1.4522153312664736,-0.014395949173789516,3.5419598274148849,6.8628082754079886e-08,7.3018738869377983e-11,1.2475214063548812e-07,0.00073271218642667005,2.0982792492799074e-06,1.5884052703692121e-05
3246.9956525205448,3.9072181991115214,-1.4876332991768202,-0.013358560963689332,3.6014123135964553,-1.4573890749746132,-0.012249847764211444,3.605939160701952,7.0601891692871456e-08,4.0803159365120168e-10,8.7198037769515342e-07,0.00091478228744724509,1.229644829658272e-06,2.1346885486680459e-05
3123.4907967856338,6.9185511290840802,-1.4935876261391277,-0.012546962992572084,3.6608360396236774,-1.4594212972524618,-0.011702649331358934,3.664852849321877,6.3576169693179409e-08,4.5308305950169361e-11,1.0591416883406035e-07,0.0011674003342380813,7.1290996065098326e-07,1.623855603700133e-05
