surf_m, surf_b, x_m, y_m, Yaw_m, x_b, y_b, Yaw_b, var_meas_x, var_meas_y, var_meas_Yaw, var_err_x, var_err_y, var_err_Yaw
2666.0739482479262,6.642834935635328,-1.6281385785957319,-0.04043206277404774,2.5846514838497869,-1.6077595358272661,-0.037283403224390506,2.5987400414007711,2.0863220622155678e-07,1.9427009808439404e-10,4.7360889624774214e-07,0.00041550984372104192,9.9142473443437697e-06,0.00019895159058570981
2622.2173865900468,579.44655352612961,-1.624422549736968,-0.039438286180004029,2.5516837841047266,-1.6112893881976902,-0.036203008997271031,2.5723636574855875,2.393218676014251e-07,2.9912203518696817e-10,5.1075332834655405e-07,0.0001727144674470116,1.0467311588707233e-05,0.00042815770131022861
2581.0349657238553,38.038489068783818,-1.6236372850440799,-0.03855085398881522,2.5239132985491657,-1.6080027647920263,-0.035303363994874513,2.5428115391299984,6.9681086429422975e-08,1.6864999434318402e-10,2.950599948058947e-07,0.00024450651097657693,1.0546356537739445e-05,0.00035743265584592068
2549.9987291434313,1.1083713601715863,-1.6165127411399494,-0.037455633266216821,2.4977766697346953,-1.609109307559472,-0.03444484379525669,2.5180469971808601,4.5685107871878534e-07,1.392692212997741e-09,5.6589778445598427e-07,5.5258542837692099e-05,9.0662180768130564e-06,0.00041144075460349867
2462.8621035687252,3.2543545459024608,-1.6178092876768406,-0.036102866593434944,2.4536913082708409,-1.6027857723408543,-0.033209638409746278,2.4710408963054498,2.7496968865920706e-07,3.2516314738658815e-09,7.1080329637076958e-06,0.00022597548334550417,8.3739559217348039e-06,0.00030797407727505704
2380.2907963606158,1.7315382063947617,-1.62085600292317,-0.035518876024934795,2.4168221173022357,-1.5976669930651659,-0.032036099918161608,2.4262550815903747,1.215952948907938e-07,1.4521665595476415e-10,2.7851850946864012e-07,0.00053784934158358669,1.2129871722232935e-05,8.9253763400593182e-05
2353.8034022865445,5.7260284539125861,-1.6188440479850232,-0.035680059079750644,2.4003019127858081,-1.5983172766295413,-0.032402960574815981,2.4114949733806474,2.2177715505694369e-07,3.6342817825241264e-10,2.690708083618505e-07,0.00042156568389220393,1.0739730770659695e-05,0.00012554829487195157
2314.0115508687218,3.9450441618636249,-1.616432572066995,-0.034978728726482222,2.3771349828537827,-1.5979052053807923,-0.031716951316344194,2.3907238307352769,1.2716932819953115e-07,2.8521170477054903e-10,4.2040768888566175e-07,0.00034338794226666336,1.0639471380757382e-05,0.00018506878628150983
2264.209423538558,8.0231773874349894,-1.6138565241371843,-0.034072520255764627,2.3529435563058687,-1.5950134322365883,-0.030819454769552571,2.366427821577282,8.9997309079981977e-08,7.2789808168768155e-11,1.4097145993263933e-07,0.00035515030973720066,1.0582506391596093e-05,0.00018196356194057788
2221.5397154531256,3.739292428251356,-1.6143643242911077,-0.033576474010931341,2.332711795431742,-1.5949498965177247,-0.030269481783386246,2.343421018087632,5.7761029996702932e-07,4.4070503078737576e-10,1.9040090488783376e-07,0.00037748606386186795,1.0936629483973817e-05,0.00011487404278023163
2171.3323164093586,4.2231625980138778,-1.6114783500957899,-0.032710725345145651,2.3088406572994788,-1.5947968052286869,-0.029865420901962508,2.3263310972132292,1.4765331221602591e-07,5.9312076357805968e-10,2.505996307391847e-07,0.00027841863939912908,8.0963386327460626e-06,0.00030616107601462244
2138.0530200384651,2.54809368789196,-1.6124526474918619,-0.032104379751827242,2.2948131742435307,-1.5916310875801825,-0.028958590297774166,2.3055196760040819,2.2769288516046251e-07,1.1700073726232264e-10,2.5710475827755877e-07,0.00043376049618309607,9.8961059499540457e-06,0.00011488114261179291
2087.445512619503,6.4499827195890251,-1.6123879984154084,-0.030944002177944276,2.2738593679185146,-1.5917550463587671,-0.028142727763534908,2.2852671420690061,7.9499394828142964e-08,2.5869672858066597e-10,2.4469878554319217e-07,0.00042579661997859579,7.8473918676185592e-06,0.00013037711587845553
2045.1300603409018,11.603387908451259,-1.6117992092496991,-0.03016224134238369,2.2564800745375138,-1.58843845214182,-0.027414632997683562,2.2686908495842086,3.1421096607141622e-07,3.7284782796885305e-10,3.4345189277548445e-07,0.00054603289940008111,7.5497170067371516e-06,0.00014943961009591863
1996.0735686127375,13.498083632104098,-1.6097727522250649,-0.028822008399759871,2.2350635810074837,-1.5904788245651857,-0.025849033269361266,2.2415657408248677,2.1893013013024959e-07,3.1325071431337677e-10,1.4833977529288549e-07,0.00037247019607216075,8.8388881116686528e-06,4.2423455270584853e-05
1949.3317892257216,4.7118065551295878,-1.6083343525156846,-0.027960142465953287,2.2148089536169406,-1.5915076184748218,-0.025311574345899483,2.2275022702872578,1.3008904120555511e-07,5.0884008817325988e-10,2.0851979129654494e-07,0.00028326646574232243,7.0154117498517382e-06,0.00016132463748841179
1887.7381999766919,5.3415361030027269,-1.608124843053538,-0.026694354096696942,2.1907738297786059,-1.5873105877681193,-0.023789114130190126,2.2028178068342443,2.310590598671948e-07,1.0289391759471811e-10,1.0399200193296932e-07,0.00043345966096526757,8.4405200990277785e-06,0.00014515929547864932
1817.1583413438407,13.072585141658783,-1.6060482086739727,-0.025812536334143626,2.1623553544913379,-1.5817950176336775,-0.02350549631676396,2.1762110650318895,3.9875312185860213e-07,5.4742492456209159e-10,2.0157215762936241e-07,0.00058860805369650169,5.3229701182172571e-06,0.00019217825529802582
1759.706733787777,9.1552334833703934,-1.6062320247688466,-0.024876416886252375,2.1408722195142182,-1.5888961490134128,-0.022020022717025592,2.1496393768764386,8.6776546175190399e-08,2.4832170063194412e-10,7.9498543505063008e-08,0.00030061762922309587,8.1592310052594016e-06,7.6940956786562324e-05
1695.0522433009651,6.3878538469597697,-1.6049614612951115,-0.023757268334565658,2.1160682213310444,-1.5857638944756391,-0.020604618974797623,2.1269637319027286,2.6322521346610292e-07,3.2442162630741154e-10,1.1585464075052672e-07,0.00036880453249728994,9.9395159188395636e-06,0.00011882568816561721
1464.5635587982647,132.72763255655767,-1.6025688266840143,-0.020099325649453065,2.0341643458184162,-1.5852639713086543,-0.017214812234741531,2.0510847291216994,5.3631620596744808e-07,1.9977716661565446e-07,7.7332260221916536e-05,0.00029998360944397644,8.5161992629341214e-06,0.00036208498614750007
