surf_m, surf_b, x_m, y_m, Yaw_m, x_b, y_b, Yaw_b, var_meas_x, var_meas_y, var_meas_Yaw, var_err_x, var_err_y, var_err_Yaw
14241.628032643814,17.429392744023353,-0.76342386336676016,-0.0036582012359199553,3.1184944537625654,-0.75162562960446022,-0.0035294844638976332,3.1284145400935937,1.4614446507813243e-08,2.9334058694960574e-11,3.6476452670435475e-07,0.00013921264206744264,1.6596754777367463e-08,9.8765582051227942e-05
12357.425308492162,14.212493419144302,-0.81713110056788585,-0.0064955259508290113,3.1151554619778596,-0.80536987437493945,-0.0062880992033483192,3.1379777606259669,1.1935409666969885e-08,9.616154465092248e-11,3.4141120218251247e-07,0.00013833813826311935,4.3120093884177438e-08,0.00052119189856156896
10848.051695228713,11.552402112465352,-0.87079236256885584,-0.009711534532445559,3.1155806927407719,-0.85691428429470118,-0.0094252436089166062,3.125048124073071,1.826893172917286e-08,1.6057691057957156e-10,3.4356923717136634e-07,0.0001926189601366637,8.2119858267429793e-08,8.996895388424136e-05
9593.2721706625816,1.9339244080148636,-0.92451881124375479,-0.011582487045104171,3.0920355482779729,-0.90961539302378625,-0.011189582982313538,3.1016788603759404,5.9533025745501072e-08,1.4116291593243212e-10,5.9492574820061904e-07,0.00022217021700452069,1.5451194221499642e-07,9.3576495452046265e-05
8747.343070517778,5.1040384270995851,-0.9676140468066583,-0.010587635383697868,3.1238018162386139,-0.95058163717409938,-0.010274867060577245,3.1343740579765433,2.8105726006763832e-08,2.1194277607056861e-10,8.8500502578921767e-07,0.00029013052150277178,9.8031727868234516e-08,0.00011263960029048403
7982.0435887926305,3.950810450259596,-1.0119784866665602,-0.010209821489206577,3.1139427056964335,-0.99273533185897334,-0.0096057481707364206,3.1238891374030033,3.4672584216489685e-08,1.572353383112258e-10,1.0389096695806254e-06,0.00037033298608127747,3.6505866471909221e-07,9.9949635169623415e-05
7175.465472983029,1.4689846960082651,-1.0646963997346719,-0.010156745663577058,3.1211628952289483,-1.0436708999954103,-0.0092693568929341115,3.1120615370991955,3.0816884938019499e-08,1.47314451206687e-10,1.1289336779480467e-06,0.00044210183983293852,7.8760319842537692e-07,8.394107481040974e-05
6533.6600345094221,1.3113268633559345,-1.1143083066951163,-0.0092855000703157848,3.1120135743034805,-1.0944545821067322,-0.008535389347610705,3.1219906274376363,2.96989027763601e-08,4.0517447175736725e-10,6.879915329771064e-07,0.00039419948495612915,5.630631672994601e-07,0.0001002158209440839
5987.4920611059943,2.9310754171572624,-1.1651244959459075,-0.0088193603836970377,3.1150467581210823,-1.1426862338064461,-0.0078591585148222332,3.1147342604716273,9.0566335545482074e-08,1.828921029713497e-10,1.6185613829556301e-06,0.00050356436284801484,9.2216686325157822e-07,1.6838449362115103e-06
5502.0865721016753,5.066423759609461,-1.2134073789216588,-0.0098457825339449828,3.1147363975740672,-1.1893399027935707,-0.0090207047081177476,3.1386968567397924,6.3320346734343153e-08,3.358863418101015e-10,1.852666858590312e-06,0.00057930546111590144,6.8108258728677187e-07,0.00057591921695380891
4991.3306301634011,1.5540422928519546,-1.2708949464559882,-0.011142971267710397,3.1118210515352369,-1.2429959767982128,-0.010037779437259545,3.1029081017253533,1.0234816022206145e-07,3.7440548982566928e-10,2.0543406587070958e-06,0.00077845280916251402,1.2218158994753414e-06,8.1453928159025218e-05
4631.5884003559031,9.9779386356845503,-1.3206446206946862,-0.014615684123695271,3.0877452343167255,-1.2899300863922796,-0.013389130422972698,3.0969929119593713,1.0503314683717466e-07,2.8389594543807718e-10,2.4129649197435098e-06,0.00094348554989760356,1.5047121987827791e-06,8.7884247403636627e-05
4285.7434751600304,6.2368945724703373,-1.3702121163194092,-0.015512563955220071,3.1100545774708648,-1.3310265943904154,-0.014287753265947374,3.087170577974268,9.0393845822058157e-08,4.0852065340842346e-10,2.755118782311536e-06,0.0015355937148166068,1.5005615747970004e-06,0.00052637744936698966
3950.2287563480718,5.1359195743687449,-1.4226807220896409,-0.013152529512457869,3.0906595074345309,-1.392341807406593,-0.011602907388143114,3.0942354749037189,1.3748469284129685e-07,5.5237742677098533e-10,2.5328782661558626e-06,0.00092058447914428253,2.4018700580440024e-06,1.5269764041520822e-05
3686.8373870762903,0.83840451816096906,-1.4732401600202791,-0.012032397374367327,3.0770092157851612,-1.4494714507057356,-0.010534170719764089,3.1182611444573216,9.8714610474165347e-08,2.3144362410922072e-10,3.035723788122134e-06,0.00056504828279752115,2.2449099233152407e-06,0.00170469662848535
3456.1881650286168,3.7591475349850954,-1.5236167590949097,-0.014820336531861917,3.1082018377358072,-1.4883836374679194,-0.013357592191063377,3.106584466312114,8.2619813036736909e-08,1.4123194602063794e-10,3.9416327905668906e-06,0.001241453826999097,2.1397594138452562e-06,6.4786904569373483e-06
3241.7669007662589,1.2210550088249148,-1.5718706177878685,-0.016342709673295496,3.1063851246403185,-1.5377754145526981,-0.015022931471994856,3.1283350065772457,1.1654300512876707e-07,2.7518821166165297e-10,4.3278144782831145e-06,0.0011625970957925556,1.7420841850757766e-06,0.00048603857523375836
3028.6696786559373,1.5042132619395852,-1.6281593946861235,-0.014577961209304401,3.1259968242615157,-1.5896811209404218,-0.013303625717968701,3.0984913760938388,2.119780433157667e-07,3.5086761295979425e-10,8.3749876194929143e-06,0.0014807852889315725,1.6242747947385017e-06,0.00076475716677188148
